Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-29 00:00:00-05:00,310.1294121394821,311.235714435012,303.51111472813875,305.25787353515625,55259000,0.0,0.0,0.0
2021-02-01 00:00:00-05:00,308.7028948181904,313.9723423549202,306.6747034712472,312.8854675292969,35646000,0.0,0.0,0.0
2021-02-02 00:00:00-05:00,315.85503508165425,319.1447718410149,315.6900492288559,317.9899597167969,33930800,0.0,0.0,0.0
2021-02-03 00:00:00-05:00,320.0665767609733,320.4353441471031,316.67007868994455,316.7283020019531,24824500,0.0,0.0,0.0
2021-02-04 00:00:00-05:00,318.1257928890835,320.5615476343097,316.80599508222116,320.4742126464844,22350900,0.0,0.0,0.0
2021-02-05 00:00:00-05:00,321.42528213863665,322.5703804942211,319.78525584329816,321.5611267089844,22732000,0.0,0.0,0.0
2021-02-08 00:00:00-05:00,323.24960653136196,323.87066511645946,321.6095806706244,323.71539306640625,20462800,0.0,0.0,0.0
2021-02-09 00:00:00-05:00,322.78370490547024,324.9089442541753,322.7739911501907,323.64739990234375,17597500,0.0,0.0,0.0
2021-02-10 00:00:00-05:00,325.08369204263147,325.53979442343336,319.7560513766523,322.9099426269531,28068700,0.0,0.0,0.0
2021-02-11 00:00:00-05:00,324.44318401278093,325.0933838110526,322.29854639987093,324.685791015625,22046100,0.0,0.0,0.0
2021-02-12 00:00:00-05:00,323.84158642690625,326.66553604356756,322.793537001244,326.5005798339844,20346800,0.0,0.0,0.0
2021-02-16 00:00:00-05:00,327.29628386492135,328.18909077277544,324.45293655928316,325.6174621582031,27080800,0.0,0.0,0.0
2021-02-17 00:00:00-05:00,322.6382065694726,325.73387433759797,320.4062339586188,324.0550231933594,31360300,0.0,0.0,0.0
2021-02-18 00:00:00-05:00,320.46452538587374,323.996868746866,318.6497997171961,322.6382751464844,32236200,0.0,0.0,0.0
2021-02-19 00:00:00-05:00,323.98712196042925,324.11328235601803,320.2121719265049,321.2311096191406,39157700,0.0,0.0,0.0
2021-02-22 00:00:00-05:00,316.84478199958846,318.10632671280536,312.7010645779116,312.90484619140625,47256900,0.0,0.0,0.0
2021-02-23 00:00:00-05:00,307.6257376291465,313.6424042805588,301.80316846266425,311.9732666015625,97241900,0.0,0.0,0.0
2021-02-24 00:00:00-05:00,309.3142392312998,314.8554049355701,306.6164503317963,314.54486083984375,58206300,0.0,0.0,0.0
